date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2010-09-15,121.26,97.368,1.0,1.0,0.003839,0.003839,1.035988,1.326926
2010-09-16,124.06,97.86,1.0,1.0,-0.007848,-0.007848,1.027858,1.316512
2010-09-17,118.35,97.902,1.0,1.0,0.007232,0.007232,1.035291,1.326034
2010-09-20,115.08,97.932,1.0,1.0,0.003509,0.003509,1.038925,1.330687
2010-09-21,113.38,97.938,1.0,1.0,0.001153,0.001153,1.040123,1.332222
2010-09-23,114.24,98.044,1.0,1.0,0.000749,0.000749,1.040902,1.33322
2010-09-24,114.64,98.2,1.0,1.0,-0.004379,-0.004379,1.036343,1.327381
2010-09-27,121.58,98.47,1.0,1.0,0.003051,0.003051,1.039506,1.331432
2010-09-28,122.71,98.726,1.0,1.0,-0.000256,-0.000256,1.039239,1.33109
2010-09-29,129.01,98.954,1.0,1.0,0.006282,0.006282,1.045768,1.339453
2010-09-30,130.04,99.09,1.0,1.0,-0.000377,-0.000377,1.045374,1.338947
2010-10-01,132.16,99.18,1.0,1.0,0.000777,0.000777,1.046186,1.339988
2010-10-04,134.83,99.552,1.0,1.0,0.000233,0.000233,1.046429,1.3403
2010-10-05,133.84,99.844,1.0,1.0,-0.005538,-0.005538,1.040634,1.332877
2010-10-06,140.78,99.976,1.0,1.0,0.010195,0.010195,1.051243,1.346465
2010-10-07,142.52,100.112,1.0,1.0,-1.3e-05,-1.3e-05,1.051229,1.346447
2010-10-08,140.56,100.25,1.0,1.0,-0.004796,-0.004796,1.046187,1.339989
2010-10-11,138.86,100.274,1.0,1.0,-0.008179,-0.008179,1.03763,1.329029
2010-10-12,127.58,100.3,1.0,1.0,-0.010584,-0.010584,1.026648,1.314963
2010-10-13,127.43,100.33,1.0,1.0,0.002032,0.002032,1.028735,1.317635
2010-10-14,134.74,100.536,1.0,1.0,0.01342,0.01342,1.04254,1.335318
2010-10-15,133.88,100.83,1.0,1.0,-0.001235,-0.001235,1.041252,1.333668
2010-10-18,119.84,101.094,1.0,1.0,-0.017642,-0.017642,1.022882,1.310139
2010-10-19,115.84,101.398,1.0,1.0,-0.001775,-0.001775,1.021066,1.307813
2010-10-20,119.99,101.782,1.0,1.0,0.009742,0.009742,1.031014,1.320555
2010-10-21,120.02,101.922,1.0,1.0,0.000814,0.000814,1.031852,1.321629
2010-10-22,118.3,101.94,1.0,1.0,0.004529,0.004529,1.036526,1.327615
2010-10-25,115.84,101.94,1.0,1.0,0.017008,0.017008,1.054155,1.350195
2010-10-26,122.75,102.07,1.0,1.0,0.004364,0.004364,1.058755,1.356087
2010-10-27,129.21,102.46,1.0,1.0,-0.006255,-0.006255,1.052132,1.347604
2010-10-28,137.97,102.774,1.0,1.0,0.0076,0.0076,1.060128,1.357846
2010-10-29,134.66,103.05,1.0,1.0,-0.008015,-0.008015,1.051631,1.346962
2010-11-01,134.88,103.404,1.0,1.0,0.011181,0.011181,1.06339,1.362023
2010-11-02,130.19,103.682,1.0,1.0,-0.004176,-0.004176,1.058949,1.356336
2010-11-03,125.59,103.808,1.0,1.0,-0.006095,-0.006095,1.052495,1.348069
2010-11-04,125.52,103.954,1.0,1.0,0.00771,0.00771,1.060611,1.358463
2010-11-05,130.01,104.11,1.0,1.0,0.010947,0.010947,1.072221,1.373334
