date,strategy,benchmark,exposure,pnl,nav,dtp_gated
2000-02-21,1.254112,1.61118,1.0,-0.024444,1.254112,0
2000-02-22,1.231245,1.581803,1.0,-0.018233,1.231245,0
2000-02-23,1.219901,1.567228,1.0,-0.009214,1.219901,0
2000-02-24,1.214449,1.560224,1.0,-0.004469,1.214449,0
2000-02-25,1.193361,1.533132,1.0,-0.017364,1.193361,0
2000-02-29,1.193798,1.533693,1.0,0.000366,1.193798,0
2000-03-01,1.225827,1.574841,1.0,0.026829,1.225827,0
2000-03-02,1.207446,1.551228,1.0,-0.014994,1.207446,0
2000-03-03,1.21304,1.558414,1.0,0.004632,1.21304,0
2000-03-04,1.204176,1.547026,1.0,-0.007307,1.204176,0
2000-03-06,1.185191,1.522636,1.0,-0.015766,1.185191,0
2000-03-07,1.186729,1.524612,1.0,0.001298,1.186729,0
2000-03-08,1.187921,1.526143,1.0,0.001004,1.187921,0
2000-03-09,1.212944,1.55829,1.0,0.021064,1.212944,0
2000-03-10,1.192996,1.532663,1.0,-0.016446,1.192996,0
2000-03-13,1.114853,1.432271,0.666667,-0.065501,1.114853,0
2000-03-14,1.116772,1.436112,0.666667,0.001721,1.116772,0
2000-03-15,1.100294,1.404328,0.666667,-0.014755,1.100294,0
2000-03-16,1.103922,1.411273,0.666667,0.003297,1.103922,0
2000-03-17,1.110746,1.424359,0.666667,0.006182,1.110746,0
2000-03-20,1.091546,1.387427,0.666667,-0.017286,1.091546,0
2000-03-21,1.131479,1.463565,0.0,0.036584,1.131479,1
2000-03-22,1.131328,1.474115,0.0,-0.000133,1.131328,1
2000-03-23,1.131328,1.54961,0.0,0.0,1.131328,1
2000-03-24,1.131328,1.541284,1.0,-0.0,1.131328,0
2000-03-27,1.169868,1.594097,1.0,0.034066,1.169868,0
2000-03-28,1.175716,1.602066,1.0,0.004999,1.175716,0
2000-03-29,1.169644,1.593791,1.0,-0.005165,1.169644,0
2000-03-30,1.184703,1.614312,1.0,0.012875,1.184703,0
2000-03-31,1.17552,1.601798,1.0,-0.007752,1.17552,0
2000-04-01,1.198837,1.633571,1.0,0.019836,1.198837,0
2000-04-05,1.215028,1.655634,1.0,0.013506,1.215028,0
2000-04-06,1.189157,1.620381,1.0,-0.021293,1.189157,0
2000-04-07,1.183402,1.612538,1.0,-0.00484,1.183402,0
2000-04-08,1.185017,1.614739,1.0,0.001365,1.185017,0
2000-04-10,1.208028,1.646094,1.0,0.019418,1.208028,0
2000-04-11,1.200939,1.636435,1.0,-0.005868,1.200939,0
2000-04-12,1.182252,1.610972,1.0,-0.01556,1.182252,0
2000-04-13,1.152576,1.570534,1.0,-0.025101,1.152576,0
2000-04-14,1.118224,1.523725,0.666667,-0.029805,1.118224,0
2000-04-15,1.077767,1.441187,0.0,-0.036179,1.077767,1
2000-04-17,1.077624,1.461809,0.0,-0.000133,1.077624,1
2000-04-18,1.077624,1.51274,0.0,0.0,1.077624,1
2000-04-19,1.077624,1.479806,0.0,-0.0,1.077624,1
2000-04-20,1.077624,1.480561,0.0,0.0,1.077624,1
2000-04-21,1.077624,1.482419,0.666667,0.0,1.077624,0
2000-04-24,1.052873,1.431644,0.0,-0.022968,1.052873,1
2000-04-25,1.052733,1.450016,0.0,-0.000133,1.052733,1
2000-04-26,1.052733,1.387413,0.0,-0.0,1.052733,1
2000-04-27,1.052733,1.388386,0.0,0.0,1.052733,1
2000-04-28,1.052733,1.434289,0.0,0.0,1.052733,1
2000-04-29,1.052733,1.426648,0.0,-0.0,1.052733,1
2000-05-02,1.052733,1.40412,0.0,-0.0,1.052733,1
2000-05-03,1.052733,1.368565,0.0,-0.0,1.052733,1
2000-05-04,1.052733,1.369439,0.0,0.0,1.052733,1
2000-05-05,1.052733,1.413836,0.0,0.0,1.052733,1
2000-05-06,1.052733,1.407107,0.0,-0.0,1.052733,1
2000-05-08,1.052733,1.400452,0.333333,-0.0,1.052733,0
2000-05-09,1.053463,1.403647,0.333333,0.000694,1.053463,0
2000-05-10,1.050374,1.391299,0.333333,-0.002932,1.050374,0
2000-05-11,1.041786,1.357173,0.0,-0.008176,1.041786,0
2000-05-12,1.041717,1.391392,0.333333,-6.7e-05,1.041717,0
2000-05-15,1.037777,1.375882,0.0,-0.003782,1.037777,0
2000-05-16,1.037708,1.418597,0.333333,-6.7e-05,1.037708,0
2000-05-17,1.051823,1.476773,0.666667,0.013603,1.051823,0
2000-05-18,1.051867,1.477012,0.666667,4.1e-05,1.051867,0
2000-05-19,1.054379,1.482304,0.666667,0.002389,1.054379,0
2000-05-20,1.031301,1.433637,0.333333,-0.021888,1.031301,0
2000-05-22,1.030734,1.43156,0.333333,-0.00055,1.030734,0
2000-05-23,1.025407,1.409363,0.333333,-0.005168,1.025407,0
2000-05-24,1.018682,1.381635,0.0,-0.006558,1.018682,0
2000-05-25,1.018614,1.371507,0.0,-6.7e-05,1.018614,0
2000-05-26,1.018614,1.391232,0.0,0.0,1.018614,0
2000-05-29,1.018614,1.395912,0.333333,0.0,1.018614,0
2000-05-30,1.025511,1.424546,0.333333,0.006771,1.025511,0
2000-05-31,1.032341,1.453006,0.333333,0.00666,1.032341,0
2000-06-01,1.028611,1.437258,0.333333,-0.003613,1.028611,0
2000-06-02,1.030194,1.443893,0.333333,0.001539,1.030194,0
2000-06-03,1.032211,1.452376,0.333333,0.001958,1.032211,0
2000-06-05,1.03308,1.456044,0.333333,0.000842,1.03308,0
2000-06-07,1.039126,1.481605,0.666667,0.005852,1.039126,0
2000-06-08,1.03544,1.47387,0.333333,-0.003547,1.03544,0
2000-06-09,1.034182,1.468795,0.333333,-0.001214,1.034182,0
2000-06-12,1.031084,1.455594,0.333333,-0.002996,1.031084,0
2000-06-13,1.028614,1.445135,0.333333,-0.002395,1.028614,0
2000-06-14,1.030317,1.452309,0.333333,0.001655,1.030317,0
2000-06-15,1.026847,1.437638,0.333333,-0.003367,1.026847,0
2000-06-16,1.026351,1.435555,0.333333,-0.000483,1.026351,0
2000-06-17,1.023975,1.425583,0.333333,-0.002315,1.023975,0
2000-06-19,1.023208,1.422381,0.333333,-0.000749,1.023208,0
2000-06-20,1.020852,1.412557,0.333333,-0.002302,1.020852,0
2000-06-21,1.018775,1.403933,0.0,-0.002035,1.018775,0
2000-06-22,1.018707,1.425741,0.333333,-6.7e-05,1.018707,0
2000-06-23,1.015277,1.411626,0.333333,-0.003367,1.015277,0
2000-06-26,1.009223,1.386373,0.0,-0.005963,1.009223,0
2000-06-27,1.009156,1.369243,0.0,-6.7e-05,1.009156,0
2000-06-28,1.009156,1.359728,0.0,-0.0,1.009156,0
2000-06-29,1.009156,1.319948,0.0,-0.0,1.009156,0
2000-06-30,1.009156,1.343386,0.0,0.0,1.009156,0
2000-08-01,1.009156,1.297804,0.0,-0.0,1.009156,0
2000-08-02,1.009156,1.286784,0.0,-0.0,1.009156,0
2000-08-03,1.009156,1.275095,0.0,-0.0,1.009156,0
2000-08-04,1.009156,1.288141,0.0,0.0,1.009156,0
2000-08-05,1.009156,1.274526,0.0,-0.0,1.009156,0
2000-08-07,1.009156,1.254137,0.0,-0.0,1.009156,0
2000-08-08,1.009156,1.267431,0.0,0.0,1.009156,0
2000-08-09,1.009156,1.308124,0.0,0.0,1.009156,0
2000-08-10,1.009156,1.304312,0.0,-0.0,1.009156,0
2000-08-11,1.009156,1.296179,0.0,-0.0,1.009156,0
2000-08-14,1.009156,1.275735,0.0,-0.0,1.009156,0
2000-08-15,1.009156,1.275218,0.0,-0.0,1.009156,0
2000-08-16,1.009156,1.300873,0.0,0.0,1.009156,0
2000-08-17,1.009156,1.323583,0.0,0.0,1.009156,0
2000-08-18,1.009156,1.329039,0.0,0.0,1.009156,0
2000-08-19,1.009156,1.334281,0.0,0.0,1.009156,0
2000-08-21,1.009156,1.342214,0.0,0.0,1.009156,0
2000-08-22,1.009156,1.319487,0.0,-0.0,1.009156,0
2000-08-24,1.009156,1.316364,0.0,-0.0,1.009156,0
2000-08-25,1.009156,1.304577,0.0,-0.0,1.009156,0
2000-08-28,1.009156,1.275247,0.0,-0.0,1.009156,0
2000-08-29,1.009156,1.270635,0.0,-0.0,1.009156,0
2000-08-30,1.009156,1.226176,0.0,-0.0,1.009156,0
2000-08-31,1.009156,1.238044,0.0,0.0,1.009156,0
2000-09-01,1.009156,1.206037,0.0,-0.0,1.009156,0
2000-09-02,1.009156,1.252772,0.0,0.0,1.009156,0
2000-09-04,1.009156,1.268283,0.0,0.0,1.009156,0
2000-09-05,1.009156,1.265454,0.0,-0.0,1.009156,0
2000-09-06,1.009156,1.237036,0.0,-0.0,1.009156,0
2000-09-07,1.009156,1.207804,0.0,-0.0,1.009156,0
2000-09-08,1.009156,1.197574,0.0,-0.0,1.009156,0
2000-09-11,1.009156,1.192244,0.0,-0.0,1.009156,0
2000-09-13,1.009156,1.201421,0.0,0.0,1.009156,0
2000-09-14,1.009156,1.162515,0.0,-0.0,1.009156,0
2000-09-15,1.009156,1.163028,0.0,0.0,1.009156,0
2000-09-16,1.009156,1.146423,0.0,-0.0,1.009156,0
2000-09-18,1.009156,1.123156,0.0,-0.0,1.009156,0
2000-09-19,1.009156,1.094673,0.0,-0.0,1.009156,0
2000-09-20,1.009156,1.118272,0.0,0.0,1.009156,0
2000-09-21,1.009156,1.124905,0.0,0.0,1.009156,0
2000-09-22,1.009156,1.074712,0.0,-0.0,1.009156,0
