date,adj
2010-11-09,29.6167
2010-11-10,29.3436
2010-11-11,29.4638
2010-11-12,29.1579
2010-11-15,28.7209
2010-11-16,28.9175
2010-11-17,28.7537
2010-11-18,28.8738
2010-11-19,29.0158
2010-11-22,29.1906
2010-11-23,29.1032
2010-11-24,29.0923
2010-11-25,29.2562
2010-11-26,28.8192
2010-11-29,29.1142
2010-11-30,29.2234
2010-12-01,29.7041
2010-12-02,30.0428
2010-12-03,29.9772
2010-12-06,30.0974
2010-12-07,30.1957
2010-12-08,30.152
2010-12-09,30.0428
2010-12-10,29.6495
2010-12-13,29.8133
2010-12-14,29.7696
2010-12-15,29.868
2010-12-16,30.01
2010-12-17,30.0209
2010-12-20,29.7478
2010-12-21,30.01
2010-12-22,30.2066
2010-12-23,30.4798
2010-12-24,30.447
2010-12-27,30.4798
2010-12-28,30.4798
2010-12-29,30.152
2010-12-30,30.2613
2010-12-31,30.3924
2011-01-03,30.6873
2011-01-04,30.9714
2011-01-05,30.6436
2011-01-06,30.8075
2011-01-07,30.589
2011-01-10,30.4361
2011-01-11,30.6764
2011-01-12,30.7529
2011-01-13,30.6436
2011-01-14,30.589
2011-01-17,30.6436
2011-01-18,30.7201
2011-01-19,31.026
2011-01-20,30.9714
2011-01-21,30.8075
2011-01-24,30.5562
2011-01-25,30.8293
2011-01-26,30.7638
2011-01-27,30.8075
2011-01-28,30.731
2011-02-08,30.731
2011-02-09,30.6982
2011-02-10,30.1083
2011-02-11,29.2999
2011-02-14,29.4965
2011-02-15,29.9335
2011-02-16,29.7806
2011-02-17,29.6058
2011-02-18,29.9881
2011-02-21,29.9335
2011-02-22,29.3873
2011-02-23,29.4419
2011-02-24,29.1797
2011-02-25,29.6058
2011-03-01,29.8243
2011-03-02,29.0705
2011-03-03,29.2453
2011-03-04,29.1469
2011-03-07,28.9066
2011-03-08,29.1142
2011-03-09,29.0049
2011-03-10,28.7318
2011-03-11,28.5789
2011-03-14,28.4041
2011-03-15,27.3225
2011-03-16,27.9671
2011-03-17,27.8578
2011-03-18,28.1637
2011-03-21,28.2293
2011-03-22,28.2402
2011-03-23,28.3931
2011-03-24,28.6116
2011-03-25,28.7864
2011-03-28,28.5133
2011-03-29,28.8411
2011-03-30,28.8848
2011-03-31,28.7318
2011-04-01,28.7318
2011-04-06,29.0486
2011-04-07,29.136
2011-04-08,29.2016
2011-04-11,29.2343
2011-04-12,29.0486
2011-04-13,28.9503
2011-04-14,29.1142
2011-04-15,29.0049
2011-04-18,28.9503
2011-04-19,28.7318
2011-04-20,29.1688
2011-04-21,29.5839
2011-04-22,29.5512
2011-04-25,29.4419
2011-04-26,29.4965
2011-04-27,29.715
2011-04-28,29.8243
2011-04-29,29.4965
2011-05-03,29.5621
2011-05-04,29.5402
2011-05-05,29.6167
2011-05-06,29.4965
2011-05-09,29.7696
2011-05-10,29.726
2011-05-11,29.8243
2011-05-12,29.7587
2011-05-13,29.7806
2011-05-16,29.715
2011-05-17,29.6604
2011-05-18,29.8243
2011-05-19,29.5621
2011-05-20,29.3873
2011-05-23,29.2671
2011-05-24,29.3654
2011-05-25,29.3436
2011-05-26,29.4856
2011-05-27,29.6058
2011-05-30,29.7478
2011-05-31,30.2722
2011-06-01,30.4579
2011-06-02,30.3487
2011-06-03,30.589
2011-06-07,30.5453
2011-06-08,30.5562
2011-06-09,30.4251
2011-06-10,30.0974
2011-06-13,29.715
2011-06-14,30.0428
2011-06-15,30.3705
2011-06-16,29.9117
2011-06-17,29.715
2011-06-20,29.5949
2011-06-21,29.7806
2011-06-22,29.7369
2011-06-23,29.6058
2011-06-24,29.5293
2011-06-27,29.4965
2011-06-28,29.6058
2011-06-29,30.0428
2011-06-30,30.3705
2011-07-01,30.4798
2011-07-04,30.4907
2011-07-05,30.5016
2011-07-06,30.589
2011-07-07,30.8403
2011-07-08,30.8949
2011-07-11,30.589
2011-07-12,30.2066
2011-07-13,30.0974
2011-07-14,30.1192
2011-07-15,30.5344
2011-07-18,30.6873
2011-07-19,30.5344
2011-07-20,30.7529
2011-07-21,30.8075
2011-07-22,31.1352
2011-07-25,30.731
2011-07-26,31.0369
2011-07-27,31.0478
2011-07-28,31.0806
2011-07-29,30.8075
2011-08-01,30.873
2011-08-02,30.8075
2011-08-03,30.4798
2011-08-04,30.1848
2011-08-05,28.2183
2011-08-08,27.6393
2011-08-09,27.3116
2011-08-10,27.8578
2011-08-11,27.8578
2011-08-12,27.7486
2011-08-15,28.0217
2011-08-16,28.0763
2011-08-17,28.0982
2011-08-18,27.6393
2011-08-19,26.6671
2011-08-22,26.5797
2011-08-23,27.3116
2011-08-24,27.0931
2011-08-25,26.8746
2011-08-26,26.9948
2011-08-29,27.3881
2011-08-30,27.5847
2011-08-31,27.7814
2011-09-01,28.0326
2011-09-02,27.9125
2011-09-05,27.3116
2011-09-06,26.7654
2011-09-07,27.2024
2011-09-08,27.3662
2011-09-09,27.4427
2011-09-13,26.8528
2011-09-14,26.5469
2011-09-15,27.0931
2011-09-16,27.8578
2011-09-19,27.399
2011-09-20,27.3881
2011-09-21,27.4099
2011-09-22,26.678
2011-09-23,26.3175
2011-09-26,25.3889
2011-09-27,25.9351
2011-09-28,25.6838
2011-09-29,26.0771
2011-09-30,26.2191
2011-10-03,25.7712
2011-10-04,25.9351
2011-10-05,25.7603
2011-10-06,25.9242
2011-10-07,25.9242
2011-10-11,26.7654
2011-10-12,26.8855
2011-10-13,27.2024
2011-10-14,26.9839
2011-10-17,27.4427
2011-10-18,27.0057
2011-10-19,27.3553
2011-10-20,27.2024
2011-10-21,27.1368
2011-10-24,27.4645
2011-10-25,27.541
2011-10-26,27.5291
2011-10-27,27.4692
2011-10-28,27.6727
2011-10-31,27.5051
2011-11-01,27.6966
2011-11-02,27.7445
2011-11-03,27.4333
2011-11-04,28.0557
2011-11-07,28.0796
2011-11-08,28.0318
2011-11-09,27.9599
2011-11-10,27.1939
2011-11-11,27.3735
2011-11-14,27.8163
2011-11-15,27.6966
2011-11-16,27.4453
2011-11-17,27.4453
2011-11-18,27.0024
2011-11-21,26.2124
2011-11-22,26.1047
2011-11-23,25.3148
2011-11-24,25.5063
2011-11-25,25.3746
2011-11-28,25.6379
2011-11-29,25.9252
2011-11-30,25.7456
2011-12-01,27.146
2011-12-02,26.8827
2011-12-05,26.8827
2011-12-06,26.3441
2011-12-07,26.5715
2011-12-08,26.368
2011-12-09,26.2005
2011-12-12,26.2124
2011-12-13,26.0928
2011-12-14,26.1526
2011-12-15,25.6858
2011-12-16,25.6738
2011-12-19,24.9677
2011-12-20,25.0036
2011-12-21,26.1167
2011-12-22,26.0688
2011-12-23,26.6314
2011-12-26,26.6314
2011-12-27,26.5236
2011-12-28,26.4758
2011-12-29,26.5117
2011-12-30,26.4997
2012-01-02,26.1885
2012-01-03,26.4758
2012-01-04,26.5715
2012-01-05,26.7391
2012-01-06,26.8229
2012-01-09,26.7032
2012-01-10,27.2298
2012-01-11,27.2897
2012-01-12,27.4094
2012-01-13,27.2897
2012-01-16,27.1341
2012-01-17,27.4812
2012-01-18,27.553
2012-01-30,28.319
2012-01-31,28.4626
2012-02-01,28.7738
2012-02-02,29.2646
2012-02-03,29.3125
2012-02-04,29.5279
2012-02-06,29.1688
2012-02-07,29.3005
2012-02-08,29.9229
2012-02-09,30.0545
2012-02-10,29.9229
2012-02-13,30.0186
2012-02-14,29.7553
2012-02-15,30.1024
2012-02-16,29.9229
2012-02-17,29.9827
2012-02-20,30.1383
2012-02-21,30.0306
2012-02-22,30.2221
2012-02-23,30.2101
2012-02-24,30.1264
2012-02-29,30.6291
2012-03-01,30.7847
2012-03-02,30.7488
2012-03-03,30.5812
2012-03-05,30.1503
2012-03-06,29.9468
2012-03-07,29.8032
2012-03-08,30.1383
2012-03-09,30.1024
2012-03-12,29.9229
2012-03-13,30.2101
2012-03-14,30.4735
2012-03-15,30.5213
2012-03-16,30.4016
2012-03-19,30.1742
2012-03-20,30.0426
2012-03-21,29.9827
2012-03-22,30.1623
2012-03-23,30.1383
2012-03-26,29.8152
2012-03-27,29.8032
2012-03-28,29.8271
2012-03-29,29.3005
2012-03-30,29.3603
2012-04-02,29.3843
2012-04-03,29.085
2012-04-05,28.5225
2012-04-06,28.726
2012-04-09,28.6063
2012-04-10,28.726
2012-04-11,28.7499
2012-04-12,28.7858
2012-04-13,29.1329
2012-04-16,29.1209
2012-04-17,28.5704
2012-04-18,28.6901
2012-04-19,28.6901
2012-04-20,28.4028
2012-04-23,28.343
2012-04-24,28.3669
2012-04-25,28.5464
2012-04-26,28.5105
2012-04-27,28.343
2012-04-30,28.5345
2012-05-02,29.1449
2012-05-03,29.1688
2012-05-04,29.2646
2012-05-07,28.8457
2012-05-08,28.8816
2012-05-09,28.7379
2012-05-10,28.6063
2012-05-11,28.4387
2012-05-14,28.331
2012-05-15,28.3669
2012-05-16,27.9839
2012-05-17,28.1275
2012-05-18,27.5051
2012-05-21,27.5889
2012-05-22,27.7206
2012-05-23,27.4094
2012-05-24,27.158
2012-05-25,27.0263
2012-05-28,27.2657
2012-05-29,27.8762
2012-05-30,27.7565
2012-05-31,27.7565
2012-06-01,27.3974
2012-06-04,26.7032
2012-06-05,26.9665
2012-06-06,27.1939
2012-06-07,27.1939
2012-06-08,27.0503
2012-06-11,27.3375
2012-06-12,27.4692
2012-06-13,27.2657
2012-06-14,27.2777
2012-06-15,27.5291
2012-06-18,27.924
2012-06-19,27.8283
2012-06-20,28.0078
2012-06-21,27.8881
2012-06-22,27.7684
2012-06-25,27.6248
2012-06-26,27.6248
2012-06-27,27.7086
2012-06-28,27.7206
2012-06-29,28.0078
2012-07-02,28.331
2012-07-03,28.7858
2012-07-04,28.7619
2012-07-05,28.726
2012-07-06,28.6063
2012-07-09,28.6661
2012-07-10,28.4507
2012-07-11,28.4507
2012-07-12,28.1754
2012-07-13,28.0677
2012-07-16,27.936
2012-07-17,28.0916
2012-07-18,27.9121
2012-07-19,28.2233
2012-07-20,28.2233
2012-07-23,27.9839
2012-07-24,27.8043
2012-07-25,27.7804
2012-07-26,27.9121
2012-07-27,28.2352
2012-07-30,28.4746
2012-07-31,28.7858
2012-08-01,28.8935
2012-08-03,28.6422
2012-08-06,29.0132
2012-08-07,29.0252
2012-08-08,29.3244
2012-08-09,29.7673
2012-08-10,29.7194
2012-08-13,29.5877
2012-08-14,29.6476
2012-08-15,29.5638
2012-08-16,29.9229
2012-08-17,30.0665
2012-08-20,29.7553
2012-08-21,29.9947
2012-08-22,29.9109
2012-08-23,29.9588
2012-08-24,29.8152
2012-08-27,29.7074
2012-08-28,29.48
2012-08-29,29.5159
2012-08-30,29.2646
2012-08-31,29.5758
2012-09-03,29.6715
2012-09-04,29.6356
2012-09-05,29.3843
2012-09-06,29.2287
2012-09-07,29.48
2012-09-10,29.6237
2012-09-11,29.5877
2012-09-12,29.8511
2012-09-13,29.875
2012-09-14,30.2101
2012-09-17,30.3777
2012-09-18,30.3777
2012-09-19,30.3418
2012-09-20,30.2341
2012-09-21,30.4016
2012-09-24,30.4256
2012-09-25,30.3059
2012-09-26,29.9229
2012-09-27,29.863
2012-09-28,29.9229
2012-10-01,29.8989
2012-10-02,30.0067
2012-10-03,29.8511
2012-10-04,29.6715
2012-10-05,29.5997
2012-10-08,29.3843
2012-10-09,29.2765
2012-10-11,28.6901
2012-10-12,28.6063
2012-10-15,28.5464
2012-10-16,28.5823
2012-10-17,28.6781
2012-10-18,28.5943
2012-10-19,28.5464
2012-10-22,28.5823
2012-10-23,29.2047
2012-10-24,28.2945
2012-10-25,28.1048
2012-10-26,27.0555
2012-10-29,26.79
2012-10-30,26.8911
